status,y_pred_orig,row_idx,y_true,y_pred_cf,carbs_orig,carbs_cf,protein_orig,protein_cf,fat_orig,fat_cf
ok,152.93665638242638,102,152.1986512481978,139.93330409773586,83.0,17.14160397718221,25.0,24.715216637937033,24.0,25.303028470439898
ok,150.45069530297818,103,140.8410596880969,139.7533258631848,20.0,17.147997210961556,10.0,1.5492457415510756,6.0,5.93502338719874
ok,149.194200324139,104,170.5027648976555,143.51484595878415,19.0,15.542317603184506,2.0,1.3184770713164653,7.0,3.388762888718773
ok,147.41626851712113,105,168.05041373030556,143.44973654346157,29.0,16.870992746338402,2.0,35.559951881449265,5.0,8.960813511782476
ok,152.47711074693692,106,169.0,144.47969922956602,31.6,15.523114412365324,6.6,24.800223667783115,7.8,9.003969445963477
ok,150.3469132837465,107,151.67739019731388,140.03159192461985,83.0,15.54534645023238,25.0,25.107646763730855,24.0,25.336693124918042
ok,150.24226964107487,108,149.09323921905238,140.99649253247009,13.0,12.350671312187439,1.0,24.80501119416317,1.5,9.775143804455809
skip,142.08915981272193,109,127.03483013919056,,,,,,,
ok,183.8312033164861,110,211.0,160.83959824533633,87.30000000000001,16.63558084009602,10.0,1.979983710297546,14.4,25.306524545965928
ok,167.308446064946,111,168.83574701343773,155.63787364130226,39.4,15.495573221899448,4.3,40.566198080987704,24.0,25.635147317529203
ok,158.5458304251906,112,148.34265002915294,140.45917334298568,20.0,15.528697491359889,10.0,23.100302613918515,6.0,8.951208241932534
ok,158.4615404060831,113,208.0991568957461,139.46418542635553,106.5,17.09461844643073,19.1,18.981576072197427,59.2,58.45259717558741
ok,165.81422882555117,114,157.0,142.6965013329343,63.1,15.312658113949336,13.2,35.56390688324609,15.7,5.994291133168716
